type,query,func_name,plantime,estcost,exectime,cost ratio,time ratio
 q92 (in 2 predicates) with null check,"EXPLAIN ANALYZE SELECT Sum(ws_ext_discount_amt) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND      sudf_dateformat(d_Date_string) between '2000-05-04' and '2030-10-05' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND sudf_dateformat(d_Date_string) is not null AND    sudf_dateformat(d_Date_string) between '1981-08-09' and '2002-03-04' AND    d_date_sk = ws_sold_date_sk) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_dateformat,2.236,39346.04,2459.961333333333,1.0,1.0
 q92 (in 2 predicates) without null check,"EXPLAIN ANALYZE SELECT Sum(ws_ext_discount_amt) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND      sudf_dateformat(d_Date_string) between '2000-05-04' and '2030-10-05' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND    sudf_dateformat(d_Date_string) between '1981-08-09' and '2002-03-04' AND    d_date_sk = ws_sold_date_sk) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_dateformat,2.29,39203.02,2142.9486666666667,1.0036481883283483,1.147932926064802
 q92 (in 1 predicates) with null check,"EXPLAIN ANALYZE SELECT Sum(ws_ext_discount_amt) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND sudf_dateformat(d_Date_string) is not null AND      sudf_dateformat(d_Date_string) between '2001-03-04' and '2002-03-04' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND    d_date_sk = ws_sold_date_sk) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_dateformat,1.686,36642.0,1051.3096666666668,1.0,1.0
 q92 (in 1 predicates) without null check,"EXPLAIN ANALYZE SELECT Sum(ws_ext_discount_amt) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND      sudf_dateformat(d_Date_string) between '2001-03-04' and '2002-03-04' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND    d_date_sk = ws_sold_date_sk) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_dateformat,1.799,36588.75,1065.058,1.0014553653787024,0.9870914698229268
 q92 (in 1 predicate and 1 projection) with null check,"EXPLAIN ANALYZE SELECT Sum(ws_ext_discount_amt), sudf_dateformat(d_Date_string) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND sudf_dateformat(d_Date_string) is not null AND      sudf_dateformat(d_Date_string) between '1995-03-04' and '2002-03-04' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND sudf_dateformat(d_Date_string) is not null  and sudf_dateformat(d_Date_string) between '1901-03-04' and '2002-03-04' AND    d_date_sk = ws_sold_date_sk) GROUP BY sudf_dateformat(d_Date_string) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_dateformat,2.325,39399.81,2412.848,1.0,1.0
 q92 (in 1 predicate and 1 projection) without null check,"EXPLAIN ANALYZE SELECT Sum(ws_ext_discount_amt), sudf_dateformat(d_Date_string) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND      sudf_dateformat(d_Date_string) between '1995-03-04' and '2002-03-04' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND sudf_dateformat(d_Date_string) between '1901-03-04' and '2002-03-04' AND    d_date_sk = ws_sold_date_sk) GROUP BY sudf_dateformat(d_Date_string) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_dateformat,2.365,39203.54,2130.104333333333,1.0050064356433115,1.1327370036491171
 q67 (in 1 predicate) with null check,"EXPLAIN ANALYZE select * from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rank() over (partition by i_category order by sumsales desc) rk from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sum(coalesce(ss_sales_price*ss_quantity,0)) sumsales from store_sales ,date_dim ,store ,item where  ss_sold_date_sk=d_date_sk and ss_item_sk=i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1181 and 1181+11 and sudf_dateformat(s_rec_start_date_string) is not null and sudf_dateformat(s_rec_start_date_string) between '1900-10-04' and '2008-03-04' group by  rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id))dw1) dw2 where rk <= 100 order by i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rk LIMIT 100",sudf_dateformat,2.773,92196.66,14041.864333333331,1.0,1.0
 q67 (in 1 predicate) without null check,"EXPLAIN ANALYZE select * from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rank() over (partition by i_category order by sumsales desc) rk from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sum(coalesce(ss_sales_price*ss_quantity,0)) sumsales from store_sales ,date_dim ,store ,item where  ss_sold_date_sk=d_date_sk and ss_item_sk=i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1181 and 1181+11 and sudf_dateformat(s_rec_start_date_string) between '1900-10-04' and '2008-03-04' group by  rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id))dw1) dw2 where rk <= 100 order by i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rk LIMIT 100",sudf_dateformat,2.708,92189.16,13874.211,1.0000813544672715,1.0120838102673608
 q67 (in 2 predicate) with null check,"EXPLAIN ANALYZE select * from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rank() over (partition by i_category order by sumsales desc) rk from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sum(coalesce(ss_sales_price*ss_quantity,0)) sumsales from store_sales ,date_dim ,store ,item where  ss_sold_date_sk=d_date_sk and ss_item_sk=i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1181 and 1181+11 and sudf_dateformat(s_rec_start_date_string) is not null and sudf_dateformat(s_rec_end_date_string) is not null and sudf_dateformat(s_rec_start_date_string) between '1900-10-04' and '2008-03-04' and sudf_dateformat(s_rec_end_date_string) between '2008-03-04' and '2028-03-04' group by  rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id))dw1) dw2 where rk <= 100 order by i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rk LIMIT 100",sudf_dateformat,2.511,92219.31,727.5826666666666,1.0,1.0
 q67 (in 2 predicate) without null check,"EXPLAIN ANALYZE select * from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rank() over (partition by i_category order by sumsales desc) rk from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sum(coalesce(ss_sales_price*ss_quantity,0)) sumsales from store_sales ,date_dim ,store ,item where  ss_sold_date_sk=d_date_sk and ss_item_sk=i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1181 and 1181+11 and sudf_dateformat(s_rec_start_date_string) between '1900-10-04' and '2008-03-04' and sudf_dateformat(s_rec_end_date_string) between '2008-03-04' and '2028-03-04' group by  rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id))dw1) dw2 where rk <= 100 order by i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rk LIMIT 100",sudf_dateformat,2.754,92204.31,698.9620000000001,1.000162682199997,1.0409473857901663
" derived from q67, udf in projection and predicate, no improv using cache,withnullcheck","EXPLAIN ANALYZE select from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id, i_des ,sumsales ,rank() over (partition by i_category order by sumsales desc) rk from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id, sudf_string_manipulation(i_item_desc, ',',',') i_des, sum(coalesce(ss_sales_price*ss_quantity,0)) sumsales from store_sales ,date_dim ,store ,item where  ss_sold_date_sk=d_date_sk and ss_item_sk=i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1181 and 1181+11 and sudf_string_manipulation(i_item_desc, ',',',') is not null and sudf_string_manipulation(i_item_desc, ',',',') != '' group by  rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id, i_des))dw1) dw2 where rk <= 100 order by i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rk limit 100",sudf_string_manipulation,2.976,111466.01,48818.98499999999,1.0,1.0
" derived from q67, udf in projection and predicate, no improv using cache,withoutnullcheck","EXPLAIN ANALYZE select from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id, i_des ,sumsales ,rank() over (partition by i_category order by sumsales desc) rk from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id, sudf_string_manipulation(i_item_desc, ',',',') i_des, sum(coalesce(ss_sales_price*ss_quantity,0)) sumsales from store_sales ,date_dim ,store ,item where  ss_sold_date_sk=d_date_sk and ss_item_sk=i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1181 and 1181+11 and sudf_string_manipulation(i_item_desc, ',',',') != '' group by  rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id, i_des))dw1) dw2 where rk <= 100 order by i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rk limit 100",sudf_string_manipulation,2.97,108106.26,39400.035,1.03107821878215,1.239059432307611
" derived from q65, udf in projection and predicate, no improv using cachewithnullcheck","EXPLAIN ANALYZE SELECT s_store_name, sudf_string_manipulation(i_item_desc, ',',',') i_des,               sc.revenue, i_current_price, i_wholesale_cost, i_brand FROM   store, item, (SELECT ss_store_sk, Avg(revenue) AS ave FROM   (SELECT ss_store_sk, ss_item_sk, Sum(ss_sales_price) AS revenue FROM   store_sales, date_dim WHERE  ss_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1199 AND 1199 + 11 GROUP  BY ss_store_sk, ss_item_sk) sa GROUP  BY ss_store_sk) sb, (SELECT ss_store_sk, ss_item_sk, Sum(ss_sales_price) AS revenue FROM   store_sales, date_dim WHERE  ss_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1199 AND 1199 + 11 GROUP  BY ss_store_sk, ss_item_sk) sc WHERE  sb.ss_store_sk = sc.ss_store_sk AND sc.revenue <= 0.1 * sb.ave AND s_store_sk = sc.ss_store_sk AND i_item_sk = sc.ss_item_sk and sudf_string_manipulation(i_item_desc, ',',',') is not null AND sudf_string_manipulation(i_item_desc, ',',',') != '' ORDER  BY s_store_name, i_item_desc LIMIT 100",sudf_string_manipulation,3.272,189646.37,4520.557666666667,1.0,1.0
" derived from q65, udf in projection and predicate, no improv using cachewithoutnullcheck","EXPLAIN ANALYZE SELECT s_store_name, sudf_string_manipulation(i_item_desc, ',',',') i_des,               sc.revenue, i_current_price, i_wholesale_cost, i_brand FROM   store, item, (SELECT ss_store_sk, Avg(revenue) AS ave FROM   (SELECT ss_store_sk, ss_item_sk, Sum(ss_sales_price) AS revenue FROM   store_sales, date_dim WHERE  ss_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1199 AND 1199 + 11 GROUP  BY ss_store_sk, ss_item_sk) sa GROUP  BY ss_store_sk) sb, (SELECT ss_store_sk, ss_item_sk, Sum(ss_sales_price) AS revenue FROM   store_sales, date_dim WHERE  ss_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1199 AND 1199 + 11 GROUP  BY ss_store_sk, ss_item_sk) sc WHERE  sb.ss_store_sk = sc.ss_store_sk AND sc.revenue <= 0.1 * sb.ave AND s_store_sk = sc.ss_store_sk AND i_item_sk = sc.ss_item_sk AND sudf_string_manipulation(i_item_desc, ',',',') != '' ORDER  BY s_store_name, i_item_desc LIMIT 100",sudf_string_manipulation,3.207,189468.98,4326.792,1.0009362482449633,1.0447827551374471
" derived from q92, udf in predicate, no improv using cachewithnullcheck","EXPLAIN ANALYZE SELECT Sum(ws_ext_discount_amt) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND sudf_string_manipulation(i_item_desc, ',',',') is not null and sudf_string_manipulation(i_item_desc, ',',',') != '' AND      i_item_sk = ws_item_sk AND      d_date BETWEEN '2002-03-29' AND      ( Cast('2002-03-29' AS DATE) +  INTERVAL '90' day) AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND    d_date BETWEEN '2002-03-29' AND    ( cast('2002-03-29' AS date) + INTERVAL '90' day) AND    d_date_sk = ws_sold_date_sk ) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_string_manipulation,2.273,46426.93,963.8236666666668,1.0,1.0
" derived from q92, udf in predicate, no improv using cachewithoutnullcheck","EXPLAIN ANALYZE SELECT Sum(ws_ext_discount_amt) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND sudf_string_manipulation(i_item_desc, ',',',') != '' AND      i_item_sk = ws_item_sk AND      d_date BETWEEN '2002-03-29' AND      ( Cast('2002-03-29' AS DATE) +  INTERVAL '90' day) AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND    d_date BETWEEN '2002-03-29' AND    ( cast('2002-03-29' AS date) + INTERVAL '90' day) AND    d_date_sk = ws_sold_date_sk ) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_string_manipulation,2.28,41926.93,961.6863333333334,1.1073295850662093,1.0022224848781254
 procbench with null check,EXPLAIN ANALYZE SELECT * from item where sudf_8_maxretclass() is not null and i_class = sudf_8_maxretclass(),sudf_8_maxretclass,0.0,0.0,120000.0,1.0,1.0
 procbench without null check,EXPLAIN ANALYZE SELECT * from item where i_class = sudf_8_maxretclass(),sudf_8_maxretclass,0.0,0.0,120000.0,inf,inf
" q67 in predicate, 175892 vs. 12663 with null check","EXPLAIN ANALYZE select from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rank() over (partition by i_category order by sumsales desc) rk from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sum(coalesce(ss_sales_price*ss_quantity,0)) sumsales from store_sales ,date_dim ,store ,item where  ss_sold_date_sk=d_date_sk and ss_item_sk=i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1181 and 1181+11 group by  rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id))dw1) dw2 where rk <= 100 and sudf_8_maxretclass() is not null and i_class = sudf_8_maxretclass() order by i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rk limit 100",sudf_8_maxretclass,0.0,0.0,120000.0,1.0,1.0
 q67 in predicate without null check,"EXPLAIN ANALYZE select from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rank() over (partition by i_category order by sumsales desc) rk from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sum(coalesce(ss_sales_price*ss_quantity,0)) sumsales from store_sales ,date_dim ,store ,item where  ss_sold_date_sk=d_date_sk and ss_item_sk=i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1181 and 1181+11 group by  rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id))dw1) dw2 where rk <= 100 and i_class = sudf_8_maxretclass() order by i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rk limit 100",sudf_8_maxretclass,0.0,0.0,120000.0,inf,inf
 q45 in subquery predicate with null check,"EXPLAIN ANALYZE SELECT ca_zip, ca_state, Sum(ws_sales_price) FROM   web_sales, customer, customer_address, date_dim, item WHERE  ws_bill_customer_sk = c_customer_sk AND c_current_addr_sk = ca_address_sk AND ws_item_sk = i_item_sk AND ( Substr(ca_zip, 1, 5) IN ( '85669', '86197', '88274', '83405', '86475', '85392', '85460', '80348', '81792' ) OR i_item_id IN (SELECT i_item_id FROM   item WHERE  i_item_sk IN ( 2, 3, 5, 7, 11, 13, 17, 19, 23, 29 ) AND sudf_8_maxretclass() is not null and i_class = sudf_8_maxretclass()) ) AND ws_sold_date_sk = d_date_sk AND d_qoy = 1 AND d_year = 2000 GROUP  BY ca_zip, ca_state ORDER  BY ca_zip, ca_state LIMIT 100",sudf_8_maxretclass,2.947,34410.19,4163.364666666667,1.0,1.0
 q45 in subquery predicate without null check,"EXPLAIN ANALYZE SELECT ca_zip, ca_state, Sum(ws_sales_price) FROM   web_sales, customer, customer_address, date_dim, item WHERE  ws_bill_customer_sk = c_customer_sk AND c_current_addr_sk = ca_address_sk AND ws_item_sk = i_item_sk AND ( Substr(ca_zip, 1, 5) IN ( '85669', '86197', '88274', '83405', '86475', '85392', '85460', '80348', '81792' ) OR i_item_id IN (SELECT i_item_id FROM   item WHERE  i_item_sk IN ( 2, 3, 5, 7, 11, 13, 17, 19, 23, 29 ) and i_class = sudf_8_maxretclass()) ) AND ws_sold_date_sk = d_date_sk AND d_qoy = 1 AND d_year = 2000 GROUP  BY ca_zip, ca_state ORDER  BY ca_zip, ca_state LIMIT 100",sudf_8_maxretclass,2.735,34407.69,2511.698,1.0000726581761228,1.6575896730684452
